serial number,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
29494,Hidden Protector : ROADTRIP (Preface),/app/838190/,9/14/20,3,20,2,22,74.99,Indie (23),"Adventure (25), Casual (4), Indie (23)",June Studio,June Studio,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis; SDK.XAudio2,8/23/20,90,0,0,3,9/16/20
29495,Gundy,/app/941640/,3/10/20,4,20,2,22,74.99,Casual (4),"Adventure (25), Casual (4), Free to Play (37), Indie (23), Strategy (2)",d4rkd0s,d4rkd0s,Engine.Godot,2/29/20,90,0,0,4,2/4/21
29496,Supermarket Shriek,/app/1086460/,10/23/20,5,20,2,22,74.99,Casual (4),"Adventure (25), Casual (4), Indie (23), Racing (9)",PQube,Billy Goat Entertainment,Engine.Unity,11/15/22,91,0,0,5,2/14/23
29497,红魔事件簿 The Note of Red Evil,/app/1211350/,2/9/20,5,20,2,22,74.99,RPG (3),"Adventure (25), Casual (4), Indie (23), RPG (3), Strategy (2)",16air,16air,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS,3/23/20,90,0,0,5,2/11/20
29498,Sunset Shapes,/app/1300390/,9/8/20,5,20,2,22,74.99,Casual (4),"Casual (4), Indie (23)",ByVal Games,ByVal Games,Engine.Godot; SDK.SteamworksNET,9/1/20,90,0,0,5,7/24/20
29499,KITT.IO,/app/1314870/,5/24/20,5,20,2,22,74.99,Casual (4),"Action (1), Adventure (25), Casual (4), Indie (23), Simulation (28)",Ammonite Design Studios Ltd,Ammonite Design Studios Ltd,Engine.Unity,1/22/23,91,0,1,5,12/27/21
29500,Mini War - Three Kingdoms,/app/1462220/,11/30/20,6,20,2,22,74.99,Indie (23),"Casual (4), Indie (23), Strategy (2)",YangZeyu,YangZeyu,Engine.Unity,11/14/20,90,0,0,6,12/3/20
29501,The Sperminator: Rescuing Tzar Vlad,/app/1230340/,3/3/20,5,43,7,50,74.98,Adventure (25),"Action (1), Adventure (25), Indie (23)",Tero Lunkka,Tero Lunkka,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Vorbis,10/30/22,82,0,0,5,3/3/20
29502,Winds Rhapsody,/app/1390370/,8/24/20,6,43,7,50,74.98,Free to Play (37),"Free to Play (37), RPG (3)",Komodo,Ocean's Dream,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,8/16/20,86,0,1,6,8/24/20
29503,All For Nought - Tic Tac Toe,/app/1396490/,9/3/20,7,43,7,50,74.98,Casual (4),"Casual (4), Free to Play (37), Strategy (2)",CarloCGC,CarloCGC,Engine.Unity,8/18/20,86,0,1,7,11/15/20
29504,Inland,/app/1468280/,11/20/20,9,43,7,50,74.98,Casual (4),"Action (1), Casual (4), Indie (23)",borgia mango art,borgia mango,Engine.Unity,11/20/20,86,0,1,9,2/28/23
29505,Split or Steal,/app/1162930/,1/31/20,1076,980,272,1252,74.97,Casual (4),"Casual (4), Free to Play (37), Simulation (28)",Rootpew,Rootpew,Engine.Unity,2/7/21,78,2,4,1076,2/9/20
29506,Bridge Constructor: The Walking Dead,/app/1336120/,11/19/20,70,150,34,184,74.97,Simulation (28),Simulation (28),Headup Publishing,ClockStone,Engine.Unity; SDK.UnityBurst; SDK.UnityURP,11/19/20,81,0,2,70,11/19/20
29507,Flying Hero VR,/app/1314300/,11/6/20,15,64,12,76,74.96,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), Simulation (28)",Red Android,Red Android,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,5/28/20,84,0,1,15,6/19/20
29508,Moving Out,/app/996770/,4/28/20,652,1360,386,1746,74.94,Indie (23),"Action (1), Casual (4), Indie (23), Simulation (28)",Team17,SMG Studio,Engine.Unity,11/10/22,77,22,36,652,4/29/20
29509,Strip 'Em,/app/1274940/,4/17/20,18,92,19,111,74.94,Indie (23),"Casual (4), Indie (23)",DreamBig Games,DreamBig Games,Engine.Unreal; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,12/13/22,82,0,2,18,4/17/20
29510,Linda & Joan Prologue: “Four Months Earlier”,/app/1267770/,7/14/20,4,34,5,39,74.93,Indie (23),"Casual (4), Free to Play (37), Indie (23)",False Vacuum Games,False Vacuum Games,Engine.Unity,1/20/22,87,0,0,4,10/10/20
29511,Marble Maid,/app/1429780/,11/4/20,8,34,5,39,74.93,Adventure (25),Adventure (25),Shady Corner Games,Shady Corner Games,Engine.Unity,8/24/22,87,0,1,8,11/5/20
29512,Rolls and Girls,/app/1438060/,11/7/20,3,34,5,39,74.93,Indie (23),"Casual (4), Indie (23)",Kotovodk Studio,Kotovodk Studio,Engine.Unity,10/22/20,87,0,1,3,11/8/20
29513,Visitations,/app/1485260/,12/18/20,11,34,5,39,74.93,Casual (4),Casual (4),Light Clinic,Object Normal,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR,12/3/20,87,0,0,11,12/19/20
29514,Phi,/app/1483980/,12/16/20,13,80,16,96,74.92,Adventure (25),"Adventure (25), Casual (4), Free to Play (37)",DigiPen Institute of Technology,Quad Cycles,SDK.FMOD,12/5/22,83,0,0,13,12/20/20
